master_order_id,master_order_status,Invoice_date,order_id,order_status,ordereditem_quantity,prod_names,ordereditem_unit_price_net,ordereditem_product_id,value,group,dist_names,retailer_names,bill_amount
25651,delivered,18-12-2017,25651,delivered,5,ProdName1,43.0,1744.0,215.0,Hyderabad,DistName1,RetailerID2,809.0
25651,delivered,18-12-2017,25651,delivered,5,ProdName2,35.54,965.0,177.7,Hyderabad,DistName1,RetailerID2,809.0
25651,delivered,18-12-2017,25651,delivered,2,ProdName3,52.8,705.0,105.6,Hyderabad,DistName3,RetailerID29,809.0
25651,delivered,18-12-2017,25651,delivered,2,ProdName4,118.28,264.0,236.56,Hyderabad,DistName1,RetailerID87,809.0
25651,delivered,18-12-2017,25651,delivered,3,ProdName5,32.22,1025.0,96.66,Hyderabad,DistName4,RetailerID118,809.0
25651,delivered,18-12-2017,25651,delivered,2,ProdName6,12.6,4337.0,25.2,Hyderabad,DistName7,RetailerID112,809.0
25652,delivered,19-12-2017,25652,delivered,2,ProdName7,107.86,5192.0,215.72,Hyderabad,DistName1,RetailerID116,566.0
25652,delivered,19-12-2017,25652,delivered,3,ProdName8,31.25,5452.0,93.75,Hyderabad,DistName6,RetailerID55,566.0
25652,delivered,19-12-2017,25652,delivered,2,ProdName9,61.88,4383.0,123.76,Hyderabad,DistName1,RetailerID13,566.0
25654,delivered,19-12-2017,25654,delivered,5,ProdName10,19.44,922.0,97.2,Hyderabad,DistName1,RetailerID56,468.0
25654,delivered,19-12-2017,25654,delivered,1,ProdName11,80.0,4049.0,80.0,Hyderabad,DistName1,RetailerID141,468.0
25654,delivered,19-12-2017,25654,delivered,1,ProdName12,85.59,2242.0,85.59,Hyderabad,DistName3,RetailerID37,468.0
25654,delivered,19-12-2017,25654,delivered,1,ProdName13,77.86,2747.0,77.86,Hyderabad,DistName1,RetailerID16,468.0
25654,delivered,19-12-2017,25654,delivered,2,ProdName14,36.15,851.0,72.3,Hyderabad,DistName3,RetailerID34,468.0
25653,delivered,19-12-2017,25653,delivered,1,ProdName15,33.65,1093.0,33.65,Hyderabad,DistName3,RetailerID44,1519.0
25653,delivered,19-12-2017,25653,delivered,1,ProdName16,497.14,5581.0,497.14,Hyderabad,DistName1,RetailerID21,1519.0
25653,delivered,19-12-2017,25653,delivered,2,ProdName17,16.07,667.0,32.14,Hyderabad,DistName1,RetailerID149,1519.0
25653,delivered,19-12-2017,25653,delivered,2,ProdName18,31.5,122.0,63.0,Hyderabad,DistName1,RetailerID79,1519.0
25653,delivered,19-12-2017,25653,delivered,3,ProdName14,36.15,851.0,108.45,Hyderabad,DistName3,RetailerID34,1519.0
25653,delivered,19-12-2017,25653,delivered,3,ProdName19,18.04,1844.0,54.12,Hyderabad,DistName1,RetailerID58,1519.0
25653,delivered,19-12-2017,25653,delivered,3,ProdName20,4.64,828.0,13.92,Hyderabad,DistName9,RetailerID81,1519.0
